id,writer
interview_0188_001,Sadie B. Hornsby
interview_0189_001,Sadie B. Hornsby
interview_0190_001,Sadie B. Hornsby
interview_0191_001,Sadie B. Hornsby
interview_0192_001,Sadie B. Hornsby
interview_0193_001,Sadie B. Hornsby
interview_0194_001,Sadie B. Hornsby
interview_0195_001,Sadie B. Hornsby
interview_0196_001,Sadie B. Hornsby
interview_0197_001,Sadie B. Hornsby
interview_0198_001,Sadie B. Hornsby
interview_0199_001,Sadie B. Hornsby
interview_0200_001,Sadie B. Hornsby
interview_0201_001,Sadie B. Hornsby
interview_0202_001,William Jenkins
interview_0203_001,Grace McCune
interview_0204_001,Grace McCune
interview_0205_001,Grace McCune
interview_0206_001,Grace McCune
interview_0207_001,Grace McCune
interview_0208_001,Grace McCune
interview_0209_001,Grace McCune
interview_0210_001,Grace McCune
interview_0211_001,Grace McCune
interview_0212_001,Grace McCune
interview_0213_001,Grace McCune
interview_0214_001,Grace McCune
interview_0215_001,Grace McCune
interview_0216_001,Grace McCune
interview_0217_001,Grace McCune
interview_0218_001,Grace McCune
interview_0219_001,Grace McCune
interview_0220_001,Grace McCune
interview_0221_001,Grace McCune
interview_0222_001,Grace McCune
interview_0223_001,Grace McCune
interview_0224_001,Grace McCune
interview_0225_001,Grace McCune
interview_0226_001,Grace McCune
interview_0227_001,Grace McCune
interview_0228_001,Grace McCune
interview_0229_001,Grace McCune
interview_0230_001,Grace McCune
interview_0231_001,Grace McCune
interview_0232_001,Grace McCune
interview_0233_001,Grace McCune
interview_0234_001,Grace McCune
interview_0235_001,Grace McCune
interview_0236_001,Covington Hall
interview_0236_001,Grace McCune
interview_0237_001,Grace McCune
interview_0238_001,Grace McCune
interview_0239_001,Grace McCune
interview_0239_001,N. C. Browder
interview_0240_001,W. Philips
interview_0241_001,A. G. Barie
interview_0241_001,M. D. Rice
interview_0241_001,N. C. Browder
interview_0242_001,Annie A. Rose
interview_0243_001,Annie A. Rose
interview_0244_001,Annie A. Rose
interview_0245_001,Annie A. Rose
interview_0246_001,Annie A. Rose
interview_0247_001,Annie A. Rose
interview_0248_001,Maurice Russell
interview_0249_001,Maurice Russell
interview_0250_001,Maurice Russell
interview_0251_001,Maurice Russell
interview_0252_001,Gerald Chan Sieg
interview_0253_001,Virginia Thorpe
interview_0254_001,Geneva Tonsill
interview_0255_001,Geneva Tonsill
interview_0256_001,Geneva Tonsill
interview_0257_001,Geneva Tonsill
interview_0258_001,Geneva Tonsill
interview_0259_001,Geneva Tonsill
interview_0260_001,Geneva Tonsill
interview_0261_001,Geneva Tonsill
interview_0262_001,Jacques Upshaw
interview_0263_001,Jacques Upshaw
interview_0264_001,Mary Vining
interview_0270_001,Hazel Breaux
interview_0271_001,Robert McKinney
interview_0272_001,Robert McKinney
